ID_R,Author,Year,TypeReport,ImpactFactor,Theory_A,Theory_B,Theory_C,Hypotheses,Definition,ID_S,ID_RS,Preregistration,TypeStudy,Country,StudyYear,SampleSize,GeneralPop,StudentPop,SampleExact,NR-AT,RR,AgeMean,AgeSD,AgeRange,FemaleP,LiberalP,LiberalMean,LiberalSD,LiberalRange,Liberal,LiberalCat,WhiteP,MuslimP,EthCat,ID_IV,IV_Exact,IV_Code,IV_Quality,Attack,ExactAttack,Type,Distance,Casualties,CasualtiesCat,DomesticTerror,Control_Condition,IV_2,ID_DV,DV_Exact,DV_Time,Time_Cat,DV_Code,Alpha,DV_Quality,OA_Category,OA_Target_A,OA_Similarity,PA_Category,Name,Incumbent,Republican,Gender,ID_ES,PlaceInformation,Test,estimate,sd,n,m_c,sd_c,n_c,m_t,sd_t,n_t,corT1T2,Direction,Regression,Correlation,Variance,SE,Fisher,Variance_F,SE_F,ESS,Power,ID_ES_Unique,TerrorMeasure,TerrorType
10001,Aber et al.,2004,1,0,NA,NA,NA,1,0,1,100011,0,4,US,2002,768,0,1,NYC Youth,1,20,16.5,1.17,12-20,52,NA,NA,NA,NA,NA,4,13,3,1,1,Direct exposure,6,0,1,9/11 Attacks,1,3,2996,2,0,NA,NA,1,Prejudice towards immigrants,0,NA,2,0.78,3,2,2,1,99,NA,NA,NA,NA,1,Table 5 on p. 121,r,-0.06,NA,768,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.06,0.001294,0.035972,-0.060072,0.001307,0.036152,768,0.383170133942806,1,Reported exposure,Islamist
10001,Aber et al.,2004,1,0,NA,NA,NA,1,0,1,100011,0,4,US,2002,768,0,1,NYC Youth,1,20,16.5,1.17,12-20,52,NA,NA,NA,NA,NA,4,13,3,1,2,Media exposure,8,0,1,9/11 Attacks,1,3,2996,2,0,NA,NA,1,Prejudice towards immigrants,0,NA,2,0.78,3,2,2,1,99,NA,NA,NA,NA,2,Table 5 on p. 122,r,-0.03,NA,768,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.03,0.001301,0.036069,-0.030009,0.001307,0.036152,768,0.131953489214663,2,Reported exposure,Islamist
10001,Aber et al.,2004,1,0,NA,NA,NA,1,0,1,100011,0,4,US,2002,768,0,1,NYC Youth,1,20,16.5,1.17,12-20,52,NA,NA,NA,NA,NA,4,13,3,1,3,Family exposure,7,0,1,9/11 Attacks,1,3,2996,2,0,NA,NA,1,Prejudice towards immigrants,0,NA,2,0.78,3,2,2,1,99,NA,NA,NA,NA,3,Table 5 on p. 123,r,-0.07,NA,768,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.07,0.001291,0.03593,-0.070115,0.001307,0.036152,768,0.492227327518611,3,Reported exposure,Islamist
10002,Abrams et al.,2017,1,0,ITT,Contact theory,NA,1,0,1,100021,0,2,UK,2005,2031,1,0,2 Nationally representative surveys,0,NA,45.76,19.18,16-98,54.4,NA,NA,NA,NA,NA,4,90.6,0,2,1,Terrorist attack,1,1,1,7/07 London Bombings,1,3,56 ,1,0,NA,NA,1,Prejudice towards Muslims,0,NA,2,0.88,3,2,3,2,99,NA,NA,NA,NA,1,Correlation on p. 4,r,0.1,NA,2031,NA,NA,NA,NA,NA,NA,NA,NA,1,0.1,4.83e-4,0.021977,0.100335,4.93e-4,0.022204,2031,0.994759030449297,4,Acts of violence,Islamist
10003,Aizpurua et al.,2017,1,0,ITT,NA,NA,1,0,1,100031,0,3,US,2001,422,1,0,Nationally representative survey,1,43.4,47.78,16.67,18-88,58.3,NA,0.36,0.49,0-1,0.36,1,84.3,NA,2,1,Perceived national threat,10,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Security index,0,NA,1,0.81,3,NA,NA,NA,9,NA,NA,NA,NA,1,Table 2 on p. 384,r,0.16,NA,418,NA,NA,NA,NA,NA,NA,NA,NA,0,0.16,0.002277,0.047718000000000003,0.161387,0.00241,0.049092,418,0.908457044952022,5,Threat,No ideology
10003,Aizpurua et al.,2017,1,0,ITT,NA,NA,1,0,1,100031,0,3,US,2001,422,1,0,Nationally representative survey,1,43.4,47.78,16.67,18-88,58.3,NA,0.36,0.49,0-1,0.36,1,84.3,NA,2,2,Perceived local threat,10,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Security index,0,NA,1,0.81,3,NA,NA,NA,9,NA,NA,NA,NA,2,Table 2 on p. 384,r,0.08,NA,418,NA,NA,NA,NA,NA,NA,NA,NA,0,0.08,0.002367,0.048652,0.080171,0.00241,0.049092,418,0.372705501027189,6,Threat,No ideology
10003,Aizpurua et al.,2017,1,0,ITT,NA,NA,1,0,1,100031,0,3,US,2001,422,1,0,Nationally representative survey,1,43.4,47.78,16.67,18-88,58.3,NA,0.36,0.49,0-1,0.36,1,84.3,NA,2,3,Perceived personal threat,9,0,0,NA,0,0,NA,-99,-99,NA,NA,1,Security index,0,NA,1,0.81,3,NA,NA,NA,9,NA,NA,NA,NA,3,Table 2 on p. 384,r,0.22,NA,411,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.002209,0.047,0.223656,0.002451,0.049508,411,0.994807711201873,7,Threat,No ideology
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,1,9/11 TV use,8,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,1,Table 2 on p. 27,r,0.01,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.003378,0.058121,0.01,0.003401,0.058318,297,0.0533301236330219,8,Reported exposure,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,2,9/11 Parent talk,7,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,2,Table 2 on p. 27,r,0.03,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.03,0.003372,0.058069,0.030009,0.003401,0.058318,297,0.0808737390146375,9,Reported exposure,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,3,9/11 Teacher talk,7,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,3,Table 2 on p. 27,r,-0.05,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.05,0.003362,0.057983,-0.050042,0.003401,0.058318,297,0.137863125305488,10,Reported exposure,Islamist
