ID_R,Author,Year,TypeReport,ImpactFactor,Theory_A,Theory_B,Theory_C,Hypotheses,Definition,ID_S,ID_RS,Preregistration,TypeStudy,Country,StudyYear,SampleSize,GeneralPop,StudentPop,SampleExact,NR-AT,RR,AgeMean,AgeSD,AgeRange,FemaleP,LiberalP,LiberalMean,LiberalSD,LiberalRange,Liberal,LiberalCat,WhiteP,MuslimP,EthCat,ID_IV,IV_Exact,IV_Code,IV_Quality,Attack,ExactAttack,Type,Distance,Casualties,CasualtiesCat,DomesticTerror,Control_Condition,IV_2,ID_DV,DV_Exact,DV_Time,Time_Cat,DV_Code,Alpha,DV_Quality,OA_Category,OA_Target_A,OA_Similarity,PA_Category,Name,Incumbent,Republican,Gender,ID_ES,PlaceInformation,Test,estimate,sd,n,m_c,sd_c,n_c,m_t,sd_t,n_t,corT1T2,Direction,Regression,Correlation,Variance,SE,Fisher,Variance_F,SE_F,ESS,Power,ID_ES_Unique,TerrorMeasure,TerrorType,TerrorType2,Islam,No_Ideology,Other_Ideology,Design,Exp,QuasiLong,Corr,Sample,General,Student,Convenience,TargetSim,Lot,Bit,No,Exposure,R_Exposure,Threat,Emotions,Fear,Anger,Other_IV,Country2,US,Israel,Other_c
10003,Aizpurua et al.,2017,1,0,ITT,NA,NA,1,0,1,100031,0,3,US,2001,422,1,0,Nationally representative survey,1,43.4,47.78,16.67,18-88,58.3,NA,0.36,0.49,0-1,0.36,1,84.3,NA,2,1,Perceived national threat,10,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Security index,0,NA,1,0.81,3,NA,NA,NA,9,NA,NA,NA,NA,1,Table 2 on p. 384,r,0.16,NA,418,NA,NA,NA,NA,NA,NA,NA,NA,0,0.16,0.002277,0.047718000000000003,0.161387,0.00241,0.049092,418,0.908457044952022,5,Threat,No ideology,No ideology,0,1,0,Correlations,0,0,1,General,1,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,US,1,0,0
10003,Aizpurua et al.,2017,1,0,ITT,NA,NA,1,0,1,100031,0,3,US,2001,422,1,0,Nationally representative survey,1,43.4,47.78,16.67,18-88,58.3,NA,0.36,0.49,0-1,0.36,1,84.3,NA,2,2,Perceived local threat,10,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Security index,0,NA,1,0.81,3,NA,NA,NA,9,NA,NA,NA,NA,2,Table 2 on p. 384,r,0.08,NA,418,NA,NA,NA,NA,NA,NA,NA,NA,0,0.08,0.002367,0.048652,0.080171,0.00241,0.049092,418,0.372705501027189,6,Threat,No ideology,No ideology,0,1,0,Correlations,0,0,1,General,1,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,US,1,0,0
10003,Aizpurua et al.,2017,1,0,ITT,NA,NA,1,0,1,100031,0,3,US,2001,422,1,0,Nationally representative survey,1,43.4,47.78,16.67,18-88,58.3,NA,0.36,0.49,0-1,0.36,1,84.3,NA,2,3,Perceived personal threat,9,0,0,NA,0,0,NA,-99,-99,NA,NA,1,Security index,0,NA,1,0.81,3,NA,NA,NA,9,NA,NA,NA,NA,3,Table 2 on p. 384,r,0.22,NA,411,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.002209,0.047,0.223656,0.002451,0.049508,411,0.994807711201873,7,Threat,No ideology,No ideology,0,1,0,Correlations,0,0,1,General,1,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,1,9/11 TV use,8,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,1,Table 2 on p. 27,r,0.01,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.003378,0.058121,0.01,0.003401,0.058318,297,0.0533301236330219,8,Reported exposure,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,2,9/11 Parent talk,7,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,2,Table 2 on p. 27,r,0.03,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.03,0.003372,0.058069,0.030009,0.003401,0.058318,297,0.0808737390146375,9,Reported exposure,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,3,9/11 Teacher talk,7,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,3,Table 2 on p. 27,r,-0.05,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.05,0.003362,0.057983,-0.050042,0.003401,0.058318,297,0.137863125305488,10,Reported exposure,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,4,9/11 Emotional reaction,13,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,4,Table 2 on p. 27,r,0.12,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.12,0.003282,0.057289,0.120581,0.003401,0.058318,297,0.544054587265613,11,Other,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,1,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,5,9/11 Community threat,10,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,5,Table 2 on p. 27,r,0.01,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.003378,0.058121,0.01,0.003401,0.058318,297,0.0533301236330219,12,Threat,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,NA,NA,NA,NA,0,0,1,0,0,0,0,US,1,0,0
10006,Arian,1989,1,0,People Apart Syndrome,NA,NA,0,0,1,100061,0,3,Israel,1988,1116,1,0,Israeli adults,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,1,Threat perceptions,10,0,1,Israeli-Palestinian conflict,1,2,NA,2,1,NA,NA,1,Authoritarianism,0,NA,1,NA,2,NA,NA,NA,5,NA,NA,NA,NA,1,Table 4 on p. 615,r,0.43,NA,1116,NA,NA,NA,NA,NA,NA,NA,NA,0,0.43,5.96e-4,0.024413,0.459897,8.98e-4,0.029967,1116,1,29,Threat,Islamist,Islamist,1,0,0,Correlations,0,0,1,General,1,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,Israel,0,1,0
10006,Arian,1989,1,0,People Apart Syndrome,NA,NA,0,0,1,100061,0,3,Israel,1988,1116,1,0,Israeli adults,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,1,Threat perceptions,10,0,1,Israeli-Palestinian conflict,1,2,NA,2,1,NA,NA,2,Policy preferences,0,NA,1,0.681,2,NA,NA,NA,8,NA,NA,NA,NA,2,Table 4 on p. 616,r,0.12,NA,1116,NA,NA,NA,NA,NA,NA,NA,NA,0,0.12,8.71e-4,0.029513,0.120581,8.98e-4,0.029967,1116,0.980514399042506,30,Threat,Islamist,Islamist,1,0,0,Correlations,0,0,1,General,1,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,Israel,0,1,0
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,1,100081,0,1,Germany,2008,144,0,1,University students,0,NA,22,2.9,NA,46.527,NA,NA,NA,NA,NA,4,NA,NA,2,1,Manipulated personal threat,3,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Approval of torture,0,NA,1,0.88,3,NA,NA,NA,9,NA,NA,NA,NA,1,Table 1 on p. 41,"m, sd",NA,NA,NA,-1.34,1.75,48,-0.72,1.49,48,NA,NA,0,0.196092,0.009446,0.097191,0.198665,0.010753,0.103697,96,0.485861448578851,35,Threat,No ideology,No ideology,0,1,0,Experiments,1,0,0,Student,0,1,0,NA,NA,NA,NA,0,0,1,0,0,0,0,Other,0,0,1
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,1,100081,0,1,Germany,2008,144,0,1,University students,0,NA,22,2.9,NA,46.527,NA,NA,NA,NA,NA,4,NA,NA,2,1,Manipulated personal threat,3,1,0,NA,0,0,NA,-99,-99,NA,NA,2,RWA,0,NA,1,0.76,3,NA,NA,NA,5,NA,NA,NA,NA,2,Table 1 on p. 41,"m, sd",NA,NA,NA,2.89,0.91,48,3.3,0.73,48,NA,NA,0,-0.041852,0.010371,0.101838,-0.041877,0.010753,0.103697,96,0.0688813536138016,36,Threat,No ideology,No ideology,0,1,0,Experiments,1,0,0,Student,0,1,0,NA,NA,NA,NA,0,0,1,0,0,0,0,Other,0,0,1
