ID_R,Author,Year,TypeReport,ImpactFactor,Theory_A,Theory_B,Theory_C,Hypotheses,Definition,ID_S,ID_RS,Preregistration,TypeStudy,Country,StudyYear,SampleSize,GeneralPop,StudentPop,SampleExact,NR-AT,RR,AgeMean,AgeSD,AgeRange,FemaleP,LiberalP,LiberalMean,LiberalSD,LiberalRange,Liberal,LiberalCat,WhiteP,MuslimP,EthCat,ID_IV,IV_Exact,IV_Code,IV_Quality,Attack,ExactAttack,Type,Distance,Casualties,CasualtiesCat,DomesticTerror,Control_Condition,IV_2,ID_DV,DV_Exact,DV_Time,Time_Cat,DV_Code,Alpha,DV_Quality,OA_Category,OA_Target_A,OA_Similarity,PA_Category,Name,Incumbent,Republican,Gender,ID_ES,PlaceInformation,Test,estimate,sd,n,m_c,sd_c,n_c,m_t,sd_t,n_t,corT1T2,Direction,Regression,Correlation,Variance,SE,Fisher,Variance_F,SE_F,ESS,Power,ID_ES_Unique,TerrorMeasure,TerrorType,TerrorType2,Islam,No_Ideology,Other_Ideology,Design,Exp,QuasiLong,Corr,Sample,General,Student,Convenience,TargetSim,Lot,Bit,No,Exposure,R_Exposure,Threat,Emotions,Fear,Anger,Other_IV,Country2,US,Israel,Other_c
10001,Aber et al.,2004,1,0,NA,NA,NA,1,0,1,100011,0,4,US,2002,768,0,1,NYC Youth,1,20,16.5,1.17,12-20,52,NA,NA,NA,NA,NA,4,13,3,1,1,Direct exposure,6,0,1,9/11 Attacks,1,3,2996,2,0,NA,NA,1,Prejudice towards immigrants,0,NA,2,0.78,3,2,2,1,99,NA,NA,NA,NA,1,Table 5 on p. 121,r,-0.06,NA,768,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.06,0.001294,0.035972,-0.060072,0.001307,0.036152,768,0.383170133942806,1,Reported exposure,Islamist,Islamist,1,0,0,Quasi-Long,0,1,0,Student,0,1,0,A bit,0,1,0,0,1,0,0,0,0,0,US,1,0,0
10001,Aber et al.,2004,1,0,NA,NA,NA,1,0,1,100011,0,4,US,2002,768,0,1,NYC Youth,1,20,16.5,1.17,12-20,52,NA,NA,NA,NA,NA,4,13,3,1,2,Media exposure,8,0,1,9/11 Attacks,1,3,2996,2,0,NA,NA,1,Prejudice towards immigrants,0,NA,2,0.78,3,2,2,1,99,NA,NA,NA,NA,2,Table 5 on p. 122,r,-0.03,NA,768,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.03,0.001301,0.036069,-0.030009,0.001307,0.036152,768,0.131953489214663,2,Reported exposure,Islamist,Islamist,1,0,0,Quasi-Long,0,1,0,Student,0,1,0,A bit,0,1,0,0,1,0,0,0,0,0,US,1,0,0
10001,Aber et al.,2004,1,0,NA,NA,NA,1,0,1,100011,0,4,US,2002,768,0,1,NYC Youth,1,20,16.5,1.17,12-20,52,NA,NA,NA,NA,NA,4,13,3,1,3,Family exposure,7,0,1,9/11 Attacks,1,3,2996,2,0,NA,NA,1,Prejudice towards immigrants,0,NA,2,0.78,3,2,2,1,99,NA,NA,NA,NA,3,Table 5 on p. 123,r,-0.07,NA,768,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.07,0.001291,0.03593,-0.070115,0.001307,0.036152,768,0.492227327518611,3,Reported exposure,Islamist,Islamist,1,0,0,Quasi-Long,0,1,0,Student,0,1,0,A bit,0,1,0,0,1,0,0,0,0,0,US,1,0,0
10002,Abrams et al.,2017,1,0,ITT,Contact theory,NA,1,0,1,100021,0,2,UK,2005,2031,1,0,2 Nationally representative surveys,0,NA,45.76,19.18,16-98,54.4,NA,NA,NA,NA,NA,4,90.6,0,2,1,Terrorist attack,1,1,1,7/07 London Bombings,1,3,56 ,1,0,NA,NA,1,Prejudice towards Muslims,0,NA,2,0.88,3,2,3,2,99,NA,NA,NA,NA,1,Correlation on p. 4,r,0.1,NA,2031,NA,NA,NA,NA,NA,NA,NA,NA,1,0.1,4.83e-4,0.021977,0.100335,4.93e-4,0.022204,2031,0.994759030449297,4,Acts of violence,Islamist,Islamist,1,0,0,Quasi-Long,0,1,0,General,1,0,0,A lot,1,0,0,1,0,0,0,0,0,0,Other,0,0,1
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,1,9/11 TV use,8,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,3,Support for immigration,0,NA,2,0.9,3,4,2,1,10,NA,NA,NA,NA,11,Table 2 on p. 27,r,-0.05,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.05,0.003362,0.057983,0.050042,0.003401,0.058318,297,0.137863125305488,18,Reported exposure,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,A bit,0,1,0,0,1,0,0,0,0,0,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,2,9/11 Parent talk,7,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,3,Support for immigration,0,NA,2,0.9,3,4,2,1,10,NA,NA,NA,NA,12,Table 2 on p. 27,r,0.17,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.17,0.003186,0.056445,-0.171667,0.003401,0.058318,297,0.838416375857228,19,Reported exposure,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,A bit,0,1,0,0,1,0,0,0,0,0,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,3,9/11 Teacher talk,7,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,3,Support for immigration,0,NA,2,0.9,3,4,2,1,10,NA,NA,NA,NA,13,Table 2 on p. 27,r,0.04,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.04,0.003368,0.058034,-0.040021,0.003401,0.058318,297,0.105552033939435,20,Reported exposure,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,A bit,0,1,0,0,1,0,0,0,0,0,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,4,9/11 Emotional reaction,13,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,3,Support for immigration,0,NA,2,0.9,3,4,2,1,10,NA,NA,NA,NA,14,Table 2 on p. 27,r,-0.07,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.07,0.003345,0.057836,0.070115,0.003401,0.058318,297,0.225546340863171,21,Other,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,A bit,0,1,0,0,0,0,0,0,0,1,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,5,9/11 Community threat,10,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,3,Support for immigration,0,NA,2,0.9,3,4,2,1,10,NA,NA,NA,NA,15,Table 2 on p. 27,r,-0.03,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.03,0.003372,0.058069,0.030009,0.003401,0.058318,297,0.0808737390146375,22,Threat,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,A bit,0,1,0,0,0,1,0,0,0,0,US,1,0,0
10005,Argyrides & Downey,2004,1,0,Us vs Them,NA,NA,1,0,1,100051,0,2,US,2001,243,0,1,University students (psychology),0,NA,20.6,NA,NA,60,NA,NA,NA,NA,NA,4,90,NA,2,1,Terrorist attack,1,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Prejudice,1,NA,2,0.8,3,2,1,0,99,NA,NA,NA,NA,1,Table 2 on p. 180,"m, sd",NA,NA,NA,17.53,4.67,30,20.65,7.91,34,NA,NA,0,0.229741,0.013649,0.116829,0.233916,0.016393,0.128035,64,0.451957058527056,23,Acts of violence,Islamist,Islamist,1,0,0,Quasi-Long,0,1,0,Student,0,1,0,No,0,0,1,1,0,0,0,0,0,0,US,1,0,0
