ID_R,Author,Year,TypeReport,ImpactFactor,Theory_A,Theory_B,Theory_C,Hypotheses,Definition,ID_S,ID_RS,Preregistration,TypeStudy,Country,StudyYear,SampleSize,GeneralPop,StudentPop,SampleExact,NR-AT,RR,AgeMean,AgeSD,AgeRange,FemaleP,LiberalP,LiberalMean,LiberalSD,LiberalRange,Liberal,LiberalCat,WhiteP,MuslimP,EthCat,ID_IV,IV_Exact,IV_Code,IV_Quality,Attack,ExactAttack,Type,Distance,Casualties,CasualtiesCat,DomesticTerror,Control_Condition,IV_2,ID_DV,DV_Exact,DV_Time,Time_Cat,DV_Code,Alpha,DV_Quality,OA_Category,OA_Target_A,OA_Similarity,PA_Category,Name,Incumbent,Republican,Gender,ID_ES,PlaceInformation,Test,estimate,sd,n,m_c,sd_c,n_c,m_t,sd_t,n_t,corT1T2,Direction,Regression,Correlation,Variance,SE,Fisher,Variance_F,SE_F,ESS,Power,ID_ES_Unique,TerrorMeasure,TerrorType,TerrorType2,Islam,No_Ideology,Other_Ideology,Design,Exp,QuasiLong,Corr,Sample,General,Student,Convenience,TargetSim,Lot,Bit,No,Exposure,R_Exposure,Threat,Emotions,Fear,Anger,Other_IV,Country2,US,Israel,Other_c
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,1,9/11 TV use,8,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,2,Political trust,0,NA,1,0.79,3,NA,NA,NA,2,NA,NA,NA,NA,6,Table 2 on p. 27,r,-0.03,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.03,0.003372,0.058069,-0.030009,0.003401,0.058318,297,0.0808737390146375,13,Reported exposure,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,2,9/11 Parent talk,7,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,2,Political trust,0,NA,1,0.79,3,NA,NA,NA,2,NA,NA,NA,NA,7,Table 2 on p. 27,r,0.15,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.15,0.003228,0.056815,0.15114,0.003401,0.058318,297,0.737431064233932,14,Reported exposure,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,3,9/11 Teacher talk,7,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,2,Political trust,0,NA,1,0.79,3,NA,NA,NA,2,NA,NA,NA,NA,8,Table 2 on p. 27,r,0.05,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.05,0.003362,0.057983,0.050042,0.003401,0.058318,297,0.137863125305488,15,Reported exposure,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,4,9/11 Emotional reaction,13,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,2,Political trust,0,NA,1,0.79,3,NA,NA,NA,2,NA,NA,NA,NA,9,Table 2 on p. 27,r,0.13,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.13,0.003265,0.05714,0.13074,0.003401,0.058318,297,0.612214338381285,16,Other,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,1,US,1,0,0
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,5,9/11 Community threat,10,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,2,Political trust,0,NA,1,0.79,3,NA,NA,NA,2,NA,NA,NA,NA,10,Table 2 on p. 27,r,0.02,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.02,0.003376,0.058103,0.020003,0.003401,0.058318,297,0.0635648590191573,17,Threat,Islamist,Islamist,1,0,0,Correlations,0,0,1,Student,0,1,0,NA,NA,NA,NA,0,0,1,0,0,0,0,US,1,0,0
10007,"Arvanitidis, Economou, & Kollias",2016,1,0.9,TMT,Group-threat,Rally-around-the-flag,1,0,1,100071,0,3,Spain,2004,1148,1,0,ESS participants,0,NA,43.55,NA,NA,54.3,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,11/03 Madrid,1,2,193,2,0,NA,NA,1,Institutional trust,247.863,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,1,Mail correspondence,r,0.0293,NA,1148,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0293,8.7e-4,0.029496,0.029308,8.73e-4,0.029547,1148,0.168119853496448,31,Acts of violence,Islamist,Islamist,1,0,0,Correlations,0,0,1,General,1,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,Other,0,0,1
10007,"Arvanitidis, Economou, & Kollias",2016,1,0.9,TMT,Group-threat,Rally-around-the-flag,1,0,2,100072,0,3,Norway,2012,1303,1,0,ESS participants,0,NA,46.913,NA,NA,54.1,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,2011 Utoya attacks,2,2,77,1,1,NA,NA,1,Institutional trust,452.99,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,2,Mail correspondence,r,-0.0108,NA,1303,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0108,7.68e-4,0.027713,-0.0108,7.69e-4,0.027731,1303,0.067544763158637,32,Acts of violence,Extreme right,Other,0,0,1,Correlations,0,0,1,General,1,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,Other,0,0,1
10007,"Arvanitidis, Economou, & Kollias",2016,1,0.9,TMT,Group-threat,Rally-around-the-flag,1,0,3,100073,0,3,Belgium,2014,1593,1,0,ESS participants,0,NA,47.925,NA,NA,50.5,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,2014 Jewish Museum of Belgium shooting,1,2,4,0,0,NA,NA,1,Institutional trust,164.011,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,3,Mail correspondence,r,0.0243,NA,1593,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0243,6.27e-4,0.02504,0.024305,6.29e-4,0.02508,1593,0.162638632397799,33,Acts of violence,Islamist,Islamist,1,0,0,Correlations,0,0,1,General,1,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,Other,0,0,1
10007,"Arvanitidis, Economou, & Kollias",2016,1,0.9,TMT,Group-threat,Rally-around-the-flag,1,0,4,100074,0,3,France,2015,250,1,0,ESS participants,0,NA,47,NA,NA,48.8,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,Charlie Hebdo attacks,1,2,12,1,0,NA,NA,1,Institutional trust,14.628,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,4,Mail correspondence,r,-0.0673,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0673,0.00398,0.063087,-0.067402,0.004049,0.063632,250,0.185559638605626,34,Acts of violence,Islamist,Islamist,1,0,0,Correlations,0,0,1,General,1,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,Other,0,0,1
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,2,100082,0,1,Germany,2010,99,0,1,University students,0,NA,22,2.67,NA,62.626262,NA,NA,NA,NA,NA,4,NA,NA,2,1,Manipulated personal threat,3,1,0,NA,0,0,NA,-99,-99,NA,In-group idenitification,3,National idenitification,0,NA,1,0.71,3,NA,NA,NA,1,NA,NA,NA,NA,7,Table 2 on p. 43,r,-0.08,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.08,0.010074,0.100369,-0.080171,0.010417,0.102064,99,0.123605373779027,41,Threat,No ideology,No ideology,0,1,0,Experiments,1,0,0,Student,0,1,0,NA,NA,NA,NA,0,0,1,0,0,0,0,Other,0,0,1
