ID_R,Author,Year,TypeReport,ImpactFactor,Theory_A,Theory_B,Theory_C,Hypotheses,Definition,ID_S,ID_RS,Preregistration,TypeStudy,Country,StudyYear,SampleSize,GeneralPop,StudentPop,SampleExact,NR-AT,RR,AgeMean,AgeSD,AgeRange,FemaleP,LiberalP,LiberalMean,LiberalSD,LiberalRange,Liberal,LiberalCat,WhiteP,MuslimP,EthCat,ID_IV,IV_Exact,IV_Code,IV_Quality,Attack,ExactAttack,Type,Distance,Casualties,CasualtiesCat,DomesticTerror,Control_Condition,IV_2,ID_DV,DV_Exact,DV_Time,Time_Cat,DV_Code,Alpha,DV_Quality,OA_Category,OA_Target_A,OA_Similarity,PA_Category,Name,Incumbent,Republican,Gender,ID_ES,PlaceInformation,Test,estimate,sd,n,m_c,sd_c,n_c,m_t,sd_t,n_t,corT1T2,Direction,Regression,Correlation,Variance,SE,Fisher,Variance_F,SE_F,ESS,Power,ID_ES_Unique
10001,Aber et al.,2004,1,0,NA,NA,NA,1,0,1,100011,0,4,US,2002,768,0,1,NYC Youth,1,20,16.5,1.17,12-20,52,NA,NA,NA,NA,NA,4,13,3,1,1,Direct exposure,6,0,1,9/11 Attacks,1,3,2996,2,0,NA,NA,1,Prejudice towards immigrants,0,NA,2,0.78,3,2,2,1,99,NA,NA,NA,NA,1,Table 5 on p. 121,r,-0.06,NA,768,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.06,0.001294,0.035972,-0.060072,0.001307,0.036152,768,0.383170133942806,1
10002,Abrams et al.,2017,1,0,ITT,Contact theory,NA,1,0,1,100021,0,2,UK,2005,2031,1,0,2 Nationally representative surveys,0,NA,45.76,19.18,16-98,54.4,NA,NA,NA,NA,NA,4,90.6,0,2,1,Terrorist attack,1,1,1,7/07 London Bombings,1,3,56 ,1,0,NA,NA,1,Prejudice towards Muslims,0,NA,2,0.88,3,2,3,2,99,NA,NA,NA,NA,1,Correlation on p. 4,r,0.1,NA,2031,NA,NA,NA,NA,NA,NA,NA,NA,1,0.1,4.83e-4,0.021977,0.100335,4.93e-4,0.022204,2031,0.994759030449297,4
10003,Aizpurua et al.,2017,1,0,ITT,NA,NA,1,0,1,100031,0,3,US,2001,422,1,0,Nationally representative survey,1,43.4,47.78,16.67,18-88,58.3,NA,0.36,0.49,0-1,0.36,1,84.3,NA,2,1,Perceived national threat,10,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Security index,0,NA,1,0.81,3,NA,NA,NA,9,NA,NA,NA,NA,1,Table 2 on p. 384,r,0.16,NA,418,NA,NA,NA,NA,NA,NA,NA,NA,0,0.16,0.002277,0.047718000000000003,0.161387,0.00241,0.049092,418,0.908457044952022,5
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,1,9/11 TV use,8,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,1,Table 2 on p. 27,r,0.01,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.003378,0.058121,0.01,0.003401,0.058318,297,0.0533301236330219,8
10005,Argyrides & Downey,2004,1,0,Us vs Them,NA,NA,1,0,1,100051,0,2,US,2001,243,0,1,University students (psychology),0,NA,20.6,NA,NA,60,NA,NA,NA,NA,NA,4,90,NA,2,1,Terrorist attack,1,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Prejudice,1,NA,2,0.8,3,2,1,0,99,NA,NA,NA,NA,1,Table 2 on p. 180,"m, sd",NA,NA,NA,17.53,4.67,30,20.65,7.91,34,NA,NA,0,0.229741,0.013649,0.116829,0.233916,0.016393,0.128035,64,0.451957058527056,23
10006,Arian,1989,1,0,People Apart Syndrome,NA,NA,0,0,1,100061,0,3,Israel,1988,1116,1,0,Israeli adults,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,1,Threat perceptions,10,0,1,Israeli-Palestinian conflict,1,2,NA,2,1,NA,NA,1,Authoritarianism,0,NA,1,NA,2,NA,NA,NA,5,NA,NA,NA,NA,1,Table 4 on p. 615,r,0.43,NA,1116,NA,NA,NA,NA,NA,NA,NA,NA,0,0.43,5.96e-4,0.024413,0.459897,8.98e-4,0.029967,1116,1,29
10007,"Arvanitidis, Economou, & Kollias",2016,1,0.9,TMT,Group-threat,Rally-around-the-flag,1,0,1,100071,0,3,Spain,2004,1148,1,0,ESS participants,0,NA,43.55,NA,NA,54.3,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,11/03 Madrid,1,2,193,2,0,NA,NA,1,Institutional trust,247.863,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,1,Mail correspondence,r,0.0293,NA,1148,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0293,8.7e-4,0.029496,0.029308,8.73e-4,0.029547,1148,0.168119853496448,31
10007,"Arvanitidis, Economou, & Kollias",2016,1,0.9,TMT,Group-threat,Rally-around-the-flag,1,0,2,100072,0,3,Norway,2012,1303,1,0,ESS participants,0,NA,46.913,NA,NA,54.1,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,2011 Utoya attacks,2,2,77,1,1,NA,NA,1,Institutional trust,452.99,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,2,Mail correspondence,r,-0.0108,NA,1303,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0108,7.68e-4,0.027713,-0.0108,7.69e-4,0.027731,1303,0.067544763158637,32
10007,"Arvanitidis, Economou, & Kollias",2016,1,0.9,TMT,Group-threat,Rally-around-the-flag,1,0,3,100073,0,3,Belgium,2014,1593,1,0,ESS participants,0,NA,47.925,NA,NA,50.5,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,2014 Jewish Museum of Belgium shooting,1,2,4,0,0,NA,NA,1,Institutional trust,164.011,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,3,Mail correspondence,r,0.0243,NA,1593,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0243,6.27e-4,0.02504,0.024305,6.29e-4,0.02508,1593,0.162638632397799,33
10007,"Arvanitidis, Economou, & Kollias",2016,1,0.9,TMT,Group-threat,Rally-around-the-flag,1,0,4,100074,0,3,France,2015,250,1,0,ESS participants,0,NA,47,NA,NA,48.8,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,Charlie Hebdo attacks,1,2,12,1,0,NA,NA,1,Institutional trust,14.628,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,4,Mail correspondence,r,-0.0673,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0673,0.00398,0.063087,-0.067402,0.004049,0.063632,250,0.185559638605626,34
